object_id,id,name,drs_uri,type
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,1fc1ff23f795991dd631b322ba4f0ea921844337d3fb52e86cf0a665141da6b7a89da8f8a6a4ba0f4770f5f818fd2b7ac0e94f0a154e729be46f675e9e58e735,empiar,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,387184c4da57d9718e8fbe4cb81331ba820e580799ff8c4f0785a03987b2d6fd8cb241ff0471d29bf9118b005f38da32ac49f942049c94135ffeef10d0306e5c,robots.txt,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,439bae5707e6b67be7691a21622fc1f4fcca23439a1945d3a97fbca45b01d7e2ea7a8ca418101b6298758be5b3567631bff0e007081ba3f1abbdfd643bc3d7e5,faang,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,44fcc4d2b9b88297acf4af495d961908d2d6d9db8a8216a0b8ed2874532a0f378bcd340c9e8b8b24f54735d2d29a18d5445bd65d9728ca503ad67e779e7ae48d,biostudies-test,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,5a05b44d6f6db204166717f1bfb7627230408eaee3214791264fab09dadde9c4f64cb7b34a41324e9eae2435e00891100ed8b71e842f003d1f03fd4934142e90,pride,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,75310b1017328bf7eee1bb0e9000a759644ec7ad734c32aff9b02439327bc6c204bdf45924a30133dfee03d0bd5917c85aaa6dfc63c29c671c208d0939859b15,ensemblgenomes,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,7a0f9af6d400387e2c7d998f0adf12701fc8a71867372072abfba49099dc6ad5399bd0d289324139e8a3fb4c5f3c242a2a491278cfe039d4c657fff10a093eeb,ensemblorg,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,8647fe7f53b1d7860bd3f5e4ffb81bcccb029f150d7bcf8f1825589fed6ef79bf2f1cfc6ab9cb87bdc2903238c8de90d6dd1d76be735500b804f1eb146ad4190,pub,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,893e0e1806213f874685bfea28171b5cba561f054f27d2efb504666d6acb845731b45702629e3d7a9363074927dfb6d5f3e6aef51f048bbcc824f5c7994d9ad4,vol1,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,ad56a87edb69cfea8bdd3c43676e6c7d1f8d316bc4441dcb8b34c026bd347011faa6dcc3576b25805c80cd8504dee06a0337be8770a762de926499d22704de51,era-pub,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,bb071fbe8e79a96c1fbdfa5f457615cbb6302ba715ab9290f5aa54c4720fa1eec646608b4876aed1a3555bce55f09028bb11c478a08c6ab219fcb17a8a3f84dc,hipsci,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,d051f9567e784d998d6d9d3153460c896ffb7fb61634e3b090ea22ce2807d139284336c689911d48fce367a1c4a6c6fa7f5619c7449fc5829126c09d693a382a,biostudies,,f
efa3b721a3c716016badfd76b4dc031578e84cf72598eed01385407b8997ee59d261beee1247f2d46ba0d86aca1c53f17a7705ae60b4dd5df7dea71f321b83ef,2fef6b87d1f9f28c3822f02610684412e8281a62453db21823d24cab001179921e8496136578a85eb7549503d62a6cc029c434daf0143d72bd6eea6fb6b8953b,era-pub,,f
